10, 45, 0.0001267439999992348
20, 190, 0.0005010929999116343
30, 435, 0.001186499000027652
40, 780, 0.002397705000021233
50, 1225, 0.005348359999970853
60, 1770, 0.008272185000009813
70, 2415, 0.013404892000039581
80, 3160, 0.02206433100002414
90, 4005, 0.035356513000010636
100, 4950, 0.04579848100001982
110, 5995, 0.060976557000003595
120, 7140, 0.07946007600003213
130, 8385, 0.08548311699996702
140, 9730, 0.1391564410000683
150, 11175, 0.14701397700002872
160, 12720, 0.17439176499999576
170, 14365, 0.2116305839999768
180, 16110, 0.25587197700008346
190, 17955, 0.3074963020000041
200, 19900, 0.3773304700000608
210, 21945, 0.4186625989999584
220, 24090, 0.48810948699997425
230, 26335, 0.5778505600000017
240, 28680, 0.637950137999951
250, 31125, 0.6936907450000263
260, 33670, 0.8858116870000003
270, 36315, 1.016475683000067
280, 39060, 1.0347031710000465
290, 41905, 1.1828069739999592
300, 44850, 1.3139680580000004
400, 79800, 0.2095571510000127
500, 124750, 0.42967664900004365
600, 179700, 0.7998651260000997
700, 244650, 1.3432280250000304
800, 319600, 2.236325134999902
900, 404550, 4.421205944999997
1000, 499500, 6.508737596999936
1100, 604450, 9.064723899
1200, 719400, 14.395080083999915
1300, 844350, 22.285986964000017
1400, 979300, 28.601132574000076
1500, 1124250, 40.16138510799999
1600, 1279200, 60.43478512299998
1700, 1444150, 82.97271412599991
1800, 1619100, 104.06579420900016